pitch_type,game_date,release_speed,release_pos_x,release_pos_y,release_pos_z,player_name,batter,pitcher,zone,stand,p_throws,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension
null,2020-08-15,94.2,1.63,1.63,5.55,Alex Gordon,460086,573124,11,L,L,1.4,0.6,-1.4,2.71,-10.9086583736777,-136.886609403643,-3.12634594940637,19.951719906146,27.5027026643062,-23.5335924160969,93.9,2271,6
null,2020-08-15,94.4,1.83,1.83,5.5,Maikel Franco,596748,573124,9,R,L,1.4,0.6,0.33,2,-6.87426323625915,-137.25032700283,-4.76581703471687,18.7667000484094,28.9848900411236,-23.5767897414007,93.8,2093,5.9
null,2020-08-15,78,1.91,1.91,5.55,Maikel Franco,596748,573124,13,R,L,-1.3,-0.4,-1.17,0.91,-4.2193990190303,-113.488971257617,-2.31998411649004,-10.3379886558754,21.7019661022813,-35.3400140971176,77.3,2749,5.9
null,2020-08-15,95.3,1.72,1.72,5.47,Maikel Franco,596748,573124,13,R,L,1.3,0.6,-1.05,2.06,-10.1306978089528,-138.414283764723,-4.78424677642828,18.9943379320484,28.2973731146613,-22.9631397186921,95,2126,6.1
null,2020-08-15,83,1.68,1.68,5.53,Ryan McBroom,643436,573124,4,R,L,-0.8,0.2,-0.76,2.55,-3.92601764229484,-120.861005010495,-0.770036827899695,-7.460363858944,23.0234502146668,-30.2403613906671,82.4,2649,5.8
null,2020-08-15,94.2,1.79,1.79,5.48,Ryan McBroom,643436,573124,12,R,L,1.3,0.7,0.29,3.65,-6.79844987085981,-137.145379779663,-0.606306150354889,18.233936658824,29.1157347937448,-23.5237319242322,93.8,2271,5.9
null,2020-08-15,82.7,1.8,1.8,5.56,Ryan McBroom,643436,573124,5,R,L,-0.7,0.2,-0.22,2.52,-3.2633526422704,-120.597961988289,-0.907337654357247,-6.11438791277469,21.043038740998,-30.2413239818826,82.5,2560,5.8
null,2020-08-15,93.9,1.7,1.7,5.5,Ryan McBroom,643436,573124,4,R,L,1.5,0.5,-0.39,2.4,-8.68340081374089,-136.490595583069,-3.37382616745212,20.6207576960934,27.1521181691,-25.6880676480632,93.9,2093,6.1
null,2020-08-15,93.6,1.77,1.77,5.54,Hunter Dozier,641531,573124,6,R,L,1.2,0.8,0.42,2.36,-6.18123302842786,-136.281911059615,-4.25307998748729,16.9010442204742,27.9273886953216,-21.3310897969056,93.2,2176,5.9
null,2020-08-15,77.1,1.97,1.97,5.56,Hunter Dozier,641531,573124,7,R,L,-1.1,-0.2,-0.28,1.55,-2.73380057683775,-112.340002891914,-1.20607283215655,-8.87236193480997,21.4227586914667,-33.7305882658372,76.4,2818,5.9
null,2020-08-15,93.1,-1.42,-1.42,5.19,Alex Avila,488671,605130,5,L,R,-0.6,1.2,-0.12,2.34,4.66047581073516,-135.532392426474,-4.19338520824694,-7.962904919538,28.2982881201388,-16.9641156877906,94.6,2436,7
null,2020-08-15,92.6,-1.24,-1.24,5.36,Alex Avila,488671,605130,2,L,R,-0.4,1.4,0.15,3.1,4.5493070431583,-134.851177382736,-3.07735138337693,-6.22771744925402,28.2578961399506,-14.6747766296419,94,2408,7
null,2020-08-15,83.8,-1.66,-1.66,5.13,Alex Avila,488671,605130,9,L,R,0.6,-0.2,0.54,1.36,3.84302869033128,-122.120291374907,-2.06371220194779,5.85480639348271,21.8729008279919,-33.6508455382354,84.9,2431,6.7
null,2020-08-15,94.4,-1.39,-1.39,5.37,Alex Avila,488671,605130,13,L,R,-0.5,1.2,-1.42,2.03,1.04343398820237,-137.464332542905,-5.82664505498868,-6.55426398701913,27.89271893821,-15.7446796991745,96,2402,7
null,2020-08-15,82.7,-1.49,-1.49,5.22,Alex Avila,488671,605130,14,L,R,0.8,0.2,1.38,1.49,5.08948355392567,-120.410735071275,-2.38582786969966,6.44017919912829,23.4281533168318,-30.0508765155513,83.6,2620,6.8
null,2020-08-15,83,-1.4,-1.4,5.18,Byron Buxton,621439,605130,9,R,R,0.4,0,0.43,1.79,3.40341755073923,-120.953764462591,-1.42477971245142,3.54570181464636,21.0279863481768,-31.8475570807652,84.3,2362,6.8
null,2020-08-15,93.9,-1.51,-1.51,5.34,Byron Buxton,621439,605130,11,R,R,-0.7,1.2,-0.96,4.58,2.92249048714198,-136.825575587595,1.12033910133562,-8.99794801706887,28.0242982574261,-17.6707072590028,95.1,2357,6.7
null,2020-08-15,92.7,-1.55,-1.55,5.23,Byron Buxton,621439,605130,11,R,R,-0.7,1.1,-0.93,4.46,3.21068430983814,-135.091012681005,1.31551946005886,-9.67673894385501,27.761166795848,-18.7444007056272,94,2331,6.8
null,2020-08-15,94.3,-1.31,-1.31,5.4,Byron Buxton,621439,605130,2,R,R,-0.8,1.3,0.15,3.47,5.59529854531653,-137.248999991889,-2.16035114654887,-11.1766891752358,28.7283742369033,-15.9256775464109,95.5,2492,6.8
null,2020-08-15,78.9,-1.26,-1.26,5.48,Luis Arraez,650333,605130,9,L,R,1.1,-0.7,0.48,1.94,1.71076502736838,-114.973485977802,0.320590842979789,9.63290702676446,21.2640077207682,-38.263955776539,79.9,2483,6.9
null,2020-08-15,76.3,-1.05,-1.05,5.5,Miguel Sano,593934,605130,13,R,R,1.3,-0.9,-0.52,1.36,-1.20074578427381,-111.092034195576,-0.0744157606256224,10.7797105353084,19.4966141649908,-39.8172387376484,77.3,2452,6.9
null,2020-08-15,94.4,-1.43,-1.43,5.39,Miguel Sano,593934,605130,11,R,R,-0.4,1.1,-0.2,3.99,4.02085235489868,-137.647099103441,-0.409094254400617,-5.3613399606231,26.1546438896833,-18.7428167062923,96,2306,6.8
null,2020-08-15,94.7,-1.12,-1.12,5.53,Miguel Sano,593934,605130,12,R,R,-0.5,1.2,0.96,2.61,6.6448773157386,-137.86810875678,-4.83738181784146,-7.69352865920249,27.6404687693634,-15.5138561531101,96.4,2422,7
null,2020-08-15,77.7,-1.18,-1.18,5.49,Miguel Sano,593934,605130,8,R,R,1.3,-0.8,-0.23,1.76,-0.410610728159898,-113.169430775161,0.387068239842808,11.3960270984555,21.5501711189503,-39.1449000750021,78.5,2452,6.9
